,precision,recall,f1-score,support
0,0.9742489270386266,0.9826839826839827,0.978448275862069,231.0
1,0.8974358974358975,0.8536585365853658,0.875,41.0
accuracy,0.9632352941176471,0.9632352941176471,0.9632352941176471,0.9632352941176471
macro avg,0.9358424122372621,0.9181712596346743,0.9267241379310345,272.0
weighted avg,0.9626704924293918,0.9632352941176471,0.9628549695740364,272.0
