,precision,recall,f1-score,support
0,0.875,1.0,0.9333333333333333,231.0
1,1.0,0.1951219512195122,0.326530612244898,41.0
accuracy,0.8786764705882353,0.8786764705882353,0.8786764705882353,0.8786764705882353
macro avg,0.9375,0.5975609756097561,0.6299319727891157,272.0
weighted avg,0.8938419117647058,0.8786764705882353,0.8418667466986794,272.0
